instanceID,courseCode,teacherID,studyPeriod,academicYear
I-1218,1262,19761024-0034,4.0,2018-2019
I-1219,1192,19750512-0043,3.0,2018-2019
I-1220,1170,19900701-0138,3.0,2018-2019
I-1221,1161,19750705-0033,4.0,2018-2019
I-1222,1277,19920826-0088,1.0,2018-2019
I-1223,1250,19930829-0082,3.0,2018-2019
I-1224,1202,19760524-0046,1.0,2018-2019
I-1225,1195,19780424-0057,3.0,2018-2019
I-1226,1172,19761024-0034,2.0,2018-2019
I-1227,1071,19910327-0096,3.0,2018-2019
I-1228,1139,19761020-0044,4.0,2019-2020
I-1229,1089,19790717-0045,2.0,2019-2020
I-1230,1075,19900119-0104,3.0,2019-2020
I-1231,1286,19750906-0032,1.0,2019-2020
I-1232,1258,19750331-0036,3.0,2019-2020
I-1233,1223,19920316-0107,3.0,2019-2020
I-1234,1196,19920917-0109,4.0,2019-2020
I-1235,1267,19930326-0132,1.0,2020-2021
I-1236,1157,19910822-0122,1.0,2020-2021
I-1237,1050,19930709-0100,2.0,2020-2021
I-1238,1012,19900307-0105,2.0,2020-2021
I-1239,1115,19900818-0116,1.0,2020-2021
I-1240,1087,19770224-0058,3.0,2020-2021
I-1241,1066,19781217-0053,2.0,2020-2021
I-1242,1044,19750331-0036,2.0,2020-2021
I-1243,1026,19930414-0106,4.0,2020-2021
I-1244,1254,19900616-0124,3.0,2021-2022
I-1245,1279,19760524-0046,2.0,2021-2022
I-1246,1262,19930221-0139,1.0,2021-2022
I-1247,1042,19790708-0041,4.0,2021-2022
I-1248,1040,19781125-0031,2.0,2021-2022
I-1249,1256,19900701-0113,2.0,2021-2022
I-1250,1245,19911116-0069,1.0,2021-2022
I-1251,1177,19900307-0105,3.0,2021-2022
I-1252,1145,19900307-0105,2.0,2021-2022
I-1253,1134,19790717-0045,2.0,2021-2022
I-1254,1104,19920828-0070,3.0,2022-2023
I-1255,1233,19910822-0122,4.0,2022-2023
I-1256,1151,19790618-0048,1.0,2022-2023
I-1257,1114,19750331-0036,3.0,2022-2023
I-1258,1019,19781217-0053,1.0,2022-2023
I-1259,1188,19910820-0078,1.0,2022-2023
I-1260,1154,19930512-0117,3.0,2022-2023
I-1261,1079,19780602-0035,1.0,2022-2023
I-1262,1005,19790708-0041,3.0,2022-2023
I-1263,1116,19931118-0062,3.0,2023-2024
I-1264,1102,19930228-0086,4.0,2023-2024
I-1265,1255,19910921-0136,4.0,2023-2024
I-1266,1245,19781217-0053,1.0,2023-2024
I-1267,1253,19750331-0036,2.0,2023-2024
I-1268,1222,19750705-0033,1.0,2023-2024
I-1269,1126,19761024-0034,1.0,2023-2024
I-1270,1125,19910514-0068,4.0,2023-2024
I-1271,1111,19910404-0102,3.0,2023-2024
I-1272,1036,19750512-0043,4.0,2023-2024
I-1273,1200,19761024-0034,2.0,2013-2014
I-1274,1282,19780317-0052,1.0,2013-2014
I-1275,1050,19921201-0094,3.0,2013-2014
I-1276,1297,19931212-0079,4.0,2013-2014
I-1277,1219,19751018-0039,3.0,2013-2014
I-1278,1076,19780317-0052,2.0,2013-2014
I-1279,1077,19921208-0097,2.0,2013-2014
I-1280,1253,19790708-0041,3.0,2014-2015
I-1281,1073,19760108-0050,4.0,2014-2015
I-1282,1067,19920505-0115,3.0,2014-2015
I-1283,1050,19750705-0033,3.0,2014-2015
I-1284,1030,19750122-0056,2.0,2014-2015
I-1285,1297,19900701-0113,3.0,2014-2015
I-1286,1200,19751018-0039,3.0,2014-2015
I-1287,1181,19761020-0044,1.0,2014-2015
I-1288,1115,19761024-0034,3.0,2014-2015
I-1289,1104,19750512-0043,3.0,2014-2015
I-1290,1015,19920602-0073,4.0,2014-2015
I-1291,1110,19790702-0038,1.0,2015-2016
I-1292,1024,19910817-0092,2.0,2015-2016
I-1293,1164,19761009-0055,2.0,2015-2016
I-1294,1095,19900201-0074,3.0,2015-2016
I-1295,1274,19790717-0045,1.0,2015-2016
I-1296,1214,19900818-0116,4.0,2015-2016
I-1297,1213,19771013-0040,2.0,2015-2016
I-1298,1081,19910403-0131,3.0,2015-2016
I-1299,1003,19920826-0088,2.0,2015-2016
I-1300,1075,19780317-0052,3.0,2016-2017
I-1301,1179,19901011-0119,4.0,2016-2017
I-1302,1134,19900201-0074,1.0,2016-2017
I-1303,1287,19750102-0059,4.0,2016-2017
I-1304,1282,19751018-0039,4.0,2016-2017
I-1305,1254,19920828-0070,3.0,2016-2017
I-1306,1255,19921123-0108,4.0,2016-2017
I-1307,1251,19930616-0127,4.0,2016-2017
I-1308,1200,19910122-0077,1.0,2016-2017
I-1309,1260,19931226-0118,4.0,2017-2018
I-1310,1203,19910927-0128,4.0,2017-2018
I-1311,1112,19930919-0137,2.0,2017-2018
I-1312,1104,19931118-0062,4.0,2017-2018
I-1313,1182,19900201-0074,2.0,2017-2018
I-1314,1154,19910101-0133,2.0,2017-2018
I-1315,1140,19780602-0035,4.0,2017-2018
I-1316,1105,19901108-0087,2.0,2017-2018
I-1317,1060,19920217-0098,3.0,2017-2018
I-1318,1003,19900124-0064,4.0,2017-2018
I-1319,1139,19770224-0058,4.0,2018-2019
I-1320,1277,19900616-0124,2.0,2018-2019
I-1321,1268,19761009-0055,4.0,2018-2019
I-1322,1101,19930616-0127,4.0,2018-2019
I-1323,1045,19750122-0056,4.0,2018-2019
I-1324,1252,19750122-0056,1.0,2018-2019
I-1325,1245,19770224-0058,3.0,2018-2019
I-1326,1102,19910921-0136,3.0,2018-2019
I-1327,1018,19930616-0127,1.0,2018-2019
I-1328,1016,19930709-0100,1.0,2018-2019
I-1329,1167,19771013-0040,3.0,2019-2020
I-1330,1132,19930414-0106,3.0,2019-2020
I-1331,1285,19770713-0042,2.0,2019-2020
I-1332,1241,19910927-0128,3.0,2019-2020
I-1333,1237,19750220-0037,3.0,2019-2020
I-1334,1283,19780602-0035,2.0,2019-2020
I-1335,1201,19901219-0125,3.0,2019-2020
I-1336,1084,19931226-0118,1.0,2019-2020
I-1337,1067,19910206-0081,1.0,2019-2020
I-1338,1012,19900321-0080,4.0,2019-2020
I-1339,1250,19901002-0085,3.0,2020-2021
I-1340,1013,19901002-0085,4.0,2020-2021
I-1341,1178,19930709-0100,2.0,2020-2021
I-1342,1167,19781217-0053,4.0,2020-2021
I-1343,1125,19780424-0057,3.0,2020-2021
I-1344,1016,19790618-0048,1.0,2020-2021
I-1345,1287,19910327-0096,4.0,2020-2021
I-1346,1270,19931203-0066,4.0,2020-2021
I-1347,1202,19900211-0140,1.0,2020-2021
I-1348,1156,19920217-0098,2.0,2020-2021
I-1349,1103,19920602-0073,4.0,2020-2021
I-1350,1008,19780424-0057,3.0,2020-2021
I-1351,1274,19780317-0052,1.0,2021-2022
I-1352,1014,19910327-0096,3.0,2021-2022
I-1353,1267,19910327-0096,1.0,2021-2022
I-1354,1255,19931203-0066,3.0,2021-2022
I-1355,1159,19750705-0033,3.0,2021-2022
I-1356,1164,19761024-0034,2.0,2021-2022
I-1357,1140,19760524-0046,1.0,2021-2022
I-1358,1116,19911116-0069,2.0,2021-2022
I-1359,1037,19750220-0037,3.0,2021-2022
I-1360,1262,19781217-0053,2.0,2022-2023
I-1361,1201,19790702-0038,2.0,2022-2023
I-1362,1233,19921201-0094,4.0,2022-2023
I-1363,1190,19910403-0103,4.0,2022-2023
I-1364,1160,19750512-0043,2.0,2022-2023
I-1365,1078,19750220-0037,3.0,2022-2023
I-1366,1238,19751018-0039,4.0,2022-2023
I-1367,1203,19900119-0104,1.0,2022-2023
I-1368,1073,19901108-0087,1.0,2022-2023
I-1369,1059,19750122-0056,4.0,2022-2023
I-1370,1054,19900818-0116,1.0,2022-2023
I-1371,1012,19921201-0094,3.0,2022-2023
I-1372,1041,19900902-0114,3.0,2023-2024
I-1373,1022,19750102-0059,1.0,2023-2024
I-1374,1247,19750722-0060,1.0,2023-2024
I-1375,1202,19921218-0101,2.0,2023-2024
I-1376,1299,19750705-0033,2.0,2023-2024
I-1377,1277,19910514-0068,4.0,2023-2024
I-1378,1236,19900124-0064,1.0,2023-2024
I-1379,1209,19750906-0032,2.0,2023-2024
I-1380,1138,19790708-0041,1.0,2023-2024
I-1381,1025,19910514-0068,1.0,2023-2024
I-1382,1236,19900616-0124,2.0,2013-2014
I-1383,1288,19770224-0058,2.0,2013-2014
I-1384,1280,19780602-0035,2.0,2013-2014
I-1385,1087,19900723-0126,3.0,2013-2014
I-1386,1249,19780424-0057,2.0,2013-2014
I-1387,1238,19790717-0045,2.0,2013-2014
I-1388,1081,19900701-0113,2.0,2013-2014
I-1389,1057,19780815-0047,4.0,2013-2014
I-1390,1006,19931212-0079,4.0,2013-2014
I-1391,1287,19790426-0049,4.0,2014-2015
I-1392,1125,19900520-0063,2.0,2014-2015
I-1393,1257,19931212-0079,3.0,2014-2015
I-1394,1230,19910327-0096,1.0,2014-2015
I-1395,1086,19901011-0119,2.0,2014-2015
I-1396,1049,19750122-0056,3.0,2014-2015
I-1397,1196,19750417-0051,4.0,2014-2015
I-1398,1136,19750722-0060,1.0,2014-2015
I-1399,1092,19760524-0046,4.0,2014-2015
I-1400,1027,19780602-0035,3.0,2014-2015
I-1401,1187,19780317-0052,2.0,2015-2016
I-1402,1061,19760108-0050,3.0,2015-2016
I-1403,1283,19750331-0036,4.0,2015-2016
I-1404,1158,19780815-0047,3.0,2015-2016
I-1405,1118,19790618-0048,4.0,2015-2016
I-1406,1021,19750705-0033,3.0,2015-2016
I-1407,1285,19931226-0118,1.0,2015-2016
I-1408,1145,19760108-0050,1.0,2015-2016
I-1409,1091,19750906-0032,3.0,2015-2016
I-1410,1060,19761009-0055,2.0,2015-2016
I-1411,1049,19770713-0042,4.0,2015-2016
I-1412,1143,19901219-0125,1.0,2016-2017
I-1413,1050,19750512-0043,4.0,2016-2017
I-1414,1290,19750122-0056,2.0,2016-2017
I-1415,1055,19900317-0083,4.0,2016-2017
I-1416,1036,19920917-0109,3.0,2016-2017
I-1417,1237,19901219-0125,3.0,2016-2017
I-1418,1160,19931226-0118,2.0,2016-2017
I-1419,1150,19930326-0132,2.0,2016-2017
I-1420,1147,19781125-0031,3.0,2016-2017
I-1421,1112,19921218-0101,4.0,2016-2017
I-1422,1006,19750906-0032,1.0,2016-2017
I-1423,1227,19761024-0034,3.0,2017-2018
I-1424,1224,19910822-0122,3.0,2017-2018
I-1425,1136,19750705-0033,1.0,2017-2018
I-1426,1131,19900317-0083,1.0,2017-2018
I-1427,1297,19751018-0039,1.0,2017-2018
I-1428,1282,19921208-0097,3.0,2017-2018
I-1429,1090,19900430-0112,2.0,2017-2018
I-1430,1035,19770713-0042,3.0,2017-2018
I-1431,1016,19760524-0046,1.0,2017-2018
I-1432,1226,19921201-0094,2.0,2018-2019
I-1433,1024,19761024-0034,1.0,2018-2019
I-1434,1225,19750122-0056,1.0,2018-2019
I-1435,1145,19761024-0034,2.0,2018-2019
I-1436,1268,19921208-0097,2.0,2018-2019
I-1437,1098,19911116-0069,3.0,2018-2019
I-1438,1034,19910820-0078,1.0,2018-2019
I-1439,1005,19750722-0060,4.0,2018-2019
I-1440,1069,19920828-0070,3.0,2019-2020
I-1441,1038,19930508-0061,2.0,2019-2020
I-1442,1264,19750102-0059,1.0,2019-2020
I-1443,1048,19930919-0137,3.0,2019-2020
I-1444,1044,19920917-0109,2.0,2019-2020
I-1445,1009,19910101-0133,1.0,2019-2020
I-1446,1274,19780424-0057,2.0,2019-2020
I-1447,1250,19781217-0053,1.0,2019-2020
I-1448,1101,19750122-0056,1.0,2019-2020
I-1449,1094,19780602-0035,1.0,2019-2020
I-1450,1064,19751018-0039,4.0,2019-2020
I-1451,1033,19900119-0104,4.0,2019-2020
I-1452,1261,19780317-0052,1.0,2020-2021
I-1453,1236,19761024-0034,3.0,2020-2021
I-1454,1295,19781217-0053,2.0,2020-2021
I-1455,1269,19920122-0065,4.0,2020-2021
I-1456,1015,19761009-0055,4.0,2020-2021
I-1457,1226,19900201-0074,1.0,2020-2021
I-1458,1124,19771013-0040,1.0,2020-2021
I-1459,1116,19900619-0076,3.0,2020-2021
I-1460,1099,19781130-0054,1.0,2020-2021
I-1461,1043,19751018-0039,2.0,2020-2021
I-1462,1035,19930414-0106,1.0,2020-2021
I-1463,1069,19920206-0072,4.0,2021-2022
I-1464,1269,19930709-0100,1.0,2021-2022
I-1465,1222,19780602-0035,1.0,2021-2022
I-1466,1274,19790426-0049,4.0,2021-2022
I-1467,1235,19930512-0117,1.0,2021-2022
I-1468,1203,19750220-0037,3.0,2021-2022
I-1469,1078,19900616-0124,1.0,2021-2022
I-1470,1032,19900119-0104,4.0,2021-2022
I-1471,1258,19900909-0123,2.0,2022-2023
I-1472,1154,19781217-0053,4.0,2022-2023
I-1473,1297,19770713-0042,4.0,2022-2023
I-1474,1275,19780602-0035,3.0,2022-2023
I-1475,1241,19780317-0052,3.0,2022-2023
I-1476,1175,19910122-0077,1.0,2022-2023
I-1477,1151,19770713-0042,2.0,2022-2023
I-1478,1113,19911116-0069,4.0,2022-2023
I-1479,1223,19920917-0109,2.0,2023-2024
I-1480,1139,19900128-0095,3.0,2023-2024
I-1481,1192,19750705-0033,2.0,2023-2024
I-1482,1093,19910327-0096,4.0,2023-2024
I-1483,1269,19910421-0067,3.0,2023-2024
I-1484,1262,19900616-0124,1.0,2023-2024
I-1485,1226,19900211-0140,3.0,2023-2024
I-1486,1020,19780602-0035,1.0,2023-2024
I-1487,1177,19761024-0034,3.0,2013-2014
I-1488,1171,19921002-0129,4.0,2013-2014
I-1489,1100,19900307-0105,2.0,2013-2014
I-1490,1270,19901108-0087,1.0,2013-2014
I-1491,1158,19900307-0105,3.0,2013-2014
I-1492,1133,19930829-0082,2.0,2013-2014
I-1493,1070,19930414-0106,2.0,2013-2014
I-1494,1127,19900124-0064,2.0,2014-2015
I-1495,1122,19770713-0042,3.0,2014-2015
I-1496,1271,19921208-0097,2.0,2014-2015
I-1497,1263,19900119-0104,3.0,2014-2015
I-1498,1155,19750417-0051,2.0,2014-2015
I-1499,1040,19790618-0048,1.0,2014-2015
I-1500,1282,19920206-0072,2.0,2014-2015
I-1501,1199,19770224-0058,2.0,2014-2015
I-1502,1139,19900520-0063,1.0,2014-2015
I-1503,1104,19750122-0056,2.0,2014-2015
I-1504,1056,19770224-0058,2.0,2014-2015
I-1505,1278,19750220-0037,1.0,2015-2016
I-1506,1047,19920320-0121,3.0,2015-2016
I-1507,1292,19750220-0037,3.0,2015-2016
I-1508,1229,19750417-0051,2.0,2015-2016
I-1509,1165,19770713-0042,3.0,2015-2016
I-1510,1261,19761009-0055,4.0,2015-2016
I-1511,1230,19911025-0091,4.0,2015-2016
I-1512,1174,19900520-0063,3.0,2015-2016
I-1513,1146,19780815-0047,2.0,2015-2016
I-1514,1275,19920320-0121,2.0,2016-2017
I-1515,1065,19750220-0037,1.0,2016-2017
I-1516,1234,19750331-0036,4.0,2016-2017
I-1517,1079,19750512-0043,4.0,2016-2017
I-1518,1250,19760524-0046,2.0,2016-2017
I-1519,1105,19900128-0095,1.0,2016-2017
I-1520,1076,19750122-0056,3.0,2016-2017
I-1521,1036,19750417-0051,3.0,2016-2017
I-1522,1043,19910122-0077,4.0,2017-2018
I-1523,1006,19920217-0098,1.0,2017-2018
I-1524,1231,19901108-0087,4.0,2017-2018
I-1525,1106,19900124-0064,1.0,2017-2018
I-1526,1098,19910327-0096,1.0,2017-2018
I-1527,1090,19910214-0084,3.0,2017-2018
I-1528,1280,19920122-0065,2.0,2017-2018
I-1529,1178,19750906-0032,4.0,2017-2018
I-1530,1147,19790426-0049,1.0,2017-2018
I-1531,1116,19781217-0053,4.0,2017-2018
I-1532,1181,19750122-0056,1.0,2018-2019
I-1533,1213,19900201-0074,3.0,2018-2019
I-1534,1187,19750512-0043,3.0,2018-2019
I-1535,1078,19920505-0115,3.0,2018-2019
I-1536,1016,19920226-0075,2.0,2018-2019
I-1537,1279,19910421-0067,3.0,2018-2019
I-1538,1188,19901029-0071,4.0,2018-2019
I-1539,1165,19750220-0037,2.0,2018-2019
I-1540,1136,19901108-0087,3.0,2018-2019
I-1541,1133,19900902-0114,3.0,2018-2019
I-1542,1159,19750331-0036,4.0,2019-2020
I-1543,1298,19910820-0078,3.0,2019-2020
I-1544,1204,19760524-0046,4.0,2019-2020
I-1545,1020,19930326-0132,1.0,2019-2020
I-1546,1297,19760108-0050,4.0,2019-2020
I-1547,1255,19930906-0110,2.0,2019-2020
I-1548,1246,19900902-0090,4.0,2019-2020
I-1549,1236,19781125-0031,2.0,2019-2020
I-1550,1094,19920828-0070,2.0,2019-2020
I-1551,1264,19750122-0056,2.0,2020-2021
I-1552,1061,19900909-0123,1.0,2020-2021
I-1553,1173,19780602-0035,4.0,2020-2021
I-1554,1163,19760524-0046,1.0,2020-2021
I-1555,1258,19910921-0136,4.0,2020-2021
I-1556,1181,19930512-0117,2.0,2020-2021
I-1557,1081,19760524-0046,2.0,2020-2021
I-1558,1070,19761020-0044,3.0,2020-2021
I-1559,1050,19790618-0048,3.0,2020-2021
I-1560,1006,19930906-0110,4.0,2020-2021
I-1561,1277,19920122-0065,4.0,2021-2022
I-1562,1265,19761009-0055,1.0,2021-2022
I-1563,1189,19910927-0128,3.0,2021-2022
I-1564,1141,19790702-0038,4.0,2021-2022
I-1565,1299,19780815-0047,4.0,2021-2022
I-1566,1248,19760108-0050,4.0,2021-2022
I-1567,1185,19930512-0117,2.0,2021-2022
I-1568,1114,19900430-0112,3.0,2021-2022
I-1569,1106,19930221-0139,3.0,2021-2022
I-1570,1032,19900902-0090,1.0,2021-2022
I-1571,1199,19781125-0031,2.0,2022-2023
I-1572,1140,19761020-0044,3.0,2022-2023
I-1573,1223,19770713-0042,4.0,2022-2023
I-1574,1206,19930326-0132,1.0,2022-2023
I-1575,1191,19901029-0071,2.0,2022-2023
I-1576,1283,19930326-0132,1.0,2022-2023
I-1577,1145,19790426-0049,3.0,2022-2023
I-1578,1040,19761009-0055,1.0,2022-2023
I-1579,1041,19781130-0054,4.0,2022-2023
I-1580,1259,19771013-0040,3.0,2023-2024
I-1581,1216,19901002-0085,1.0,2023-2024
I-1582,1167,19900201-0074,4.0,2023-2024
I-1583,1203,19900119-0104,4.0,2023-2024
I-1584,1175,19790708-0041,4.0,2023-2024
I-1585,1121,19901108-0087,1.0,2023-2024
I-1586,1077,19921208-0097,2.0,2023-2024
I-1587,1054,19781217-0053,4.0,2013-2014
I-1588,1032,19761024-0034,2.0,2013-2014
I-1589,1299,19771013-0040,3.0,2013-2014
I-1590,1294,19750906-0032,2.0,2013-2014
I-1591,1157,19920828-0070,4.0,2013-2014
I-1592,1285,19750102-0059,3.0,2013-2014
I-1593,1229,19920602-0073,3.0,2013-2014
I-1594,1205,19761020-0044,4.0,2013-2014
I-1595,1175,19921123-0108,3.0,2013-2014
I-1596,1145,19751018-0039,2.0,2013-2014
I-1597,1095,19901108-0087,4.0,2014-2015
I-1598,1254,19750331-0036,2.0,2014-2015
I-1599,1242,19911025-0091,1.0,2014-2015
I-1600,1205,19911025-0091,1.0,2014-2015
I-1601,1074,19930221-0139,3.0,2014-2015
I-1602,1247,19781217-0053,2.0,2014-2015
I-1603,1173,19920602-0073,4.0,2014-2015
I-1604,1164,19931231-0099,4.0,2014-2015
I-1605,1142,19920504-0093,3.0,2014-2015
I-1606,1015,19790702-0038,4.0,2014-2015
I-1607,1295,19781217-0053,4.0,2015-2016
I-1608,1243,19780317-0052,4.0,2015-2016
I-1609,1061,19921123-0108,3.0,2015-2016
I-1610,1015,19790702-0038,3.0,2015-2016
I-1611,1296,19930326-0132,3.0,2015-2016
I-1612,1284,19920828-0070,2.0,2015-2016
I-1613,1113,19901026-0111,1.0,2015-2016
I-1614,1084,19790426-0049,3.0,2015-2016
I-1615,1292,19930508-0061,1.0,2016-2017
I-1616,1108,19750512-0043,1.0,2016-2017
I-1617,1280,19900701-0113,1.0,2016-2017
I-1618,1146,19900128-0095,2.0,2016-2017
I-1619,1104,19780317-0052,1.0,2016-2017
I-1620,1191,19910820-0078,4.0,2016-2017
I-1621,1190,19780815-0047,1.0,2016-2017
I-1622,1153,19751018-0039,4.0,2016-2017
I-1623,1144,19770713-0042,3.0,2016-2017
I-1624,1064,19771013-0040,2.0,2016-2017
I-1625,1199,19780602-0035,4.0,2017-2018
I-1626,1277,19921218-0101,2.0,2017-2018
I-1627,1152,19900801-0130,3.0,2017-2018
I-1628,1290,19930829-0082,3.0,2017-2018
I-1629,1209,19900902-0090,3.0,2017-2018
I-1630,1108,19750705-0033,4.0,2017-2018
I-1631,1059,19900119-0104,4.0,2017-2018
I-1632,1276,19910403-0103,2.0,2018-2019
I-1633,1205,19910206-0081,1.0,2018-2019
I-1634,1238,19781125-0031,2.0,2018-2019
I-1635,1159,19901108-0087,1.0,2018-2019
I-1636,1097,19761024-0034,3.0,2018-2019
I-1637,1269,19780602-0035,2.0,2018-2019
I-1638,1244,19921002-0129,4.0,2018-2019
I-1639,1221,19900211-0140,3.0,2018-2019
I-1640,1149,19920226-0075,2.0,2018-2019
I-1641,1031,19910820-0078,4.0,2018-2019
I-1642,1150,19921201-0094,1.0,2019-2020
I-1643,1054,19910817-0092,3.0,2019-2020
I-1644,1043,19900124-0064,1.0,2019-2020
I-1645,1024,19790708-0041,4.0,2019-2020
I-1646,1269,19780424-0057,2.0,2019-2020
I-1647,1217,19910403-0103,1.0,2019-2020
I-1648,1197,19780815-0047,3.0,2019-2020
I-1649,1126,19900616-0124,2.0,2019-2020
I-1650,1086,19751018-0039,2.0,2019-2020
I-1651,1116,19900128-0095,2.0,2020-2021
I-1652,1255,19921201-0094,2.0,2020-2021
I-1653,1239,19750906-0032,4.0,2020-2021
I-1654,1080,19750705-0033,2.0,2020-2021
I-1655,1051,19920602-0073,1.0,2020-2021
I-1656,1238,19921123-0108,2.0,2020-2021
I-1657,1188,19750102-0059,4.0,2020-2021
I-1658,1179,19780602-0035,1.0,2020-2021
I-1659,1079,19910403-0103,4.0,2020-2021
I-1660,1156,19931118-0062,3.0,2021-2022
I-1661,1103,19930512-0117,4.0,2021-2022
I-1662,1257,19930709-0100,1.0,2021-2022
I-1663,1203,19920122-0065,2.0,2021-2022
I-1664,1044,19780317-0052,4.0,2021-2022
I-1665,1285,19761024-0034,3.0,2021-2022
I-1666,1276,19930616-0127,4.0,2021-2022
I-1667,1187,19921201-0094,4.0,2021-2022
I-1668,1163,19900211-0140,3.0,2021-2022
I-1669,1156,19930302-0135,4.0,2022-2023
I-1670,1136,19760108-0050,3.0,2022-2023
I-1671,1244,19900902-0090,3.0,2022-2023
I-1672,1172,19900701-0113,3.0,2022-2023
I-1673,1165,19920505-0115,2.0,2022-2023
I-1674,1067,19771013-0040,1.0,2022-2023
I-1675,1249,19920826-0088,3.0,2022-2023
I-1676,1190,19931226-0118,2.0,2022-2023
I-1677,1075,19751018-0039,1.0,2022-2023
I-1678,1063,19901029-0071,4.0,2022-2023
I-1679,1050,19770224-0058,4.0,2022-2023
I-1680,1007,19781217-0053,4.0,2022-2023
I-1681,1193,19750705-0033,4.0,2023-2024
I-1682,1170,19930414-0106,3.0,2023-2024
I-1683,1232,19750102-0059,4.0,2023-2024
I-1684,1145,19790426-0049,1.0,2023-2024
I-1685,1074,19901011-0119,3.0,2023-2024
I-1686,1016,19781125-0031,2.0,2023-2024
I-1687,1244,19760108-0050,1.0,2023-2024
I-1688,1105,19901219-0125,4.0,2023-2024
I-1689,1094,19930829-0082,4.0,2023-2024
I-1690,1087,19760108-0050,4.0,2023-2024
I-1691,1004,19910822-0122,2.0,2023-2024
I-1692,1117,19900511-0134,3.0,2013-2014
I-1693,1163,19750512-0043,3.0,2013-2014
I-1694,1128,19750722-0060,1.0,2013-2014
I-1695,1251,19900818-0116,2.0,2013-2014
I-1696,1242,19770224-0058,4.0,2013-2014
I-1697,1182,19900317-0083,2.0,2013-2014
I-1698,1029,19750705-0033,4.0,2013-2014
I-1699,1017,19750122-0056,1.0,2013-2014
I-1700,1226,19900211-0140,4.0,2014-2015
I-1701,1219,19910206-0081,4.0,2014-2015
I-1702,1295,19921002-0129,2.0,2014-2015
I-1703,1052,19910404-0102,1.0,2014-2015
I-1704,1007,19780317-0052,1.0,2014-2015
I-1705,1256,19900211-0140,3.0,2014-2015
I-1706,1167,19921127-0120,1.0,2014-2015
I-1707,1065,19781217-0053,2.0,2014-2015
I-1708,1049,19751018-0039,2.0,2014-2015
I-1709,1268,19790702-0038,4.0,2015-2016
I-1710,1259,19930906-0110,2.0,2015-2016
I-1711,1053,19900801-0130,3.0,2015-2016
I-1712,1035,19750331-0036,3.0,2015-2016
I-1713,1284,19780424-0057,2.0,2015-2016
I-1714,1271,19901219-0125,3.0,2015-2016
I-1715,1206,19931118-0062,1.0,2015-2016
I-1716,1170,19760524-0046,4.0,2015-2016
I-1717,1121,19910820-0078,1.0,2016-2017
I-1718,1250,19910122-0077,2.0,2016-2017
I-1719,1236,19761024-0034,1.0,2016-2017
I-1720,1219,19931212-0079,2.0,2016-2017
I-1721,1200,19750705-0033,3.0,2016-2017
I-1722,1153,19900307-0105,2.0,2016-2017
I-1723,1135,19750417-0051,3.0,2016-2017
I-1724,1126,19780317-0052,4.0,2016-2017
I-1725,1058,19920316-0107,2.0,2016-2017
I-1726,1272,19900430-0112,4.0,2017-2018
I-1727,1010,19790702-0038,3.0,2017-2018
I-1728,1264,19901026-0111,4.0,2017-2018
I-1729,1118,19910206-0081,4.0,2017-2018
I-1730,1106,19771013-0040,4.0,2017-2018
I-1731,1072,19750102-0059,3.0,2017-2018
I-1732,1267,19790708-0041,1.0,2017-2018
I-1733,1139,19901002-0085,2.0,2017-2018
I-1734,1138,19910404-0102,3.0,2017-2018
I-1735,1029,19921002-0129,3.0,2017-2018
I-1736,1150,19780815-0047,4.0,2018-2019
I-1737,1292,19750722-0060,1.0,2018-2019
I-1738,1191,19761020-0044,2.0,2018-2019
I-1739,1051,19770713-0042,1.0,2018-2019
I-1740,1264,19901108-0087,3.0,2018-2019
I-1741,1237,19900128-0095,1.0,2018-2019
I-1742,1164,19930512-0117,2.0,2018-2019
I-1743,1112,19781217-0053,1.0,2018-2019
I-1744,1105,19781130-0054,1.0,2018-2019
I-1745,1022,19790708-0041,3.0,2018-2019
I-1746,1296,19781217-0053,2.0,2019-2020
I-1747,1194,19900701-0138,2.0,2019-2020
I-1748,1247,19931118-0062,4.0,2019-2020
I-1749,1248,19900201-0074,3.0,2019-2020
I-1750,1122,19900321-0080,3.0,2019-2020
I-1751,1105,19900211-0140,4.0,2019-2020
I-1752,1293,19761024-0034,4.0,2019-2020
I-1753,1272,19790426-0049,1.0,2019-2020
I-1754,1259,19920917-0109,2.0,2019-2020
I-1755,1116,19900124-0064,4.0,2019-2020
I-1756,1061,19900801-0130,3.0,2019-2020
I-1757,1008,19920917-0109,3.0,2019-2020
I-1758,1119,19921208-0097,2.0,2020-2021
I-1759,1110,19780815-0047,4.0,2020-2021
I-1760,1011,19900511-0134,1.0,2020-2021
I-1761,1229,19910403-0131,3.0,2020-2021
I-1762,1198,19750512-0043,3.0,2020-2021
I-1763,1163,19910404-0102,1.0,2020-2021
I-1764,1073,19901108-0087,2.0,2020-2021
I-1765,1299,19760108-0050,2.0,2021-2022
I-1766,1292,19750906-0032,2.0,2021-2022
I-1767,1209,19750220-0037,4.0,2021-2022
I-1768,1168,19920206-0072,4.0,2021-2022
I-1769,1107,19920504-0093,1.0,2021-2022
I-1770,1080,19750512-0043,1.0,2021-2022
I-1771,1293,19900321-0080,2.0,2021-2022
I-1772,1284,19910206-0081,4.0,2021-2022
I-1773,1204,19761024-0034,1.0,2021-2022
I-1774,1104,19900430-0112,1.0,2021-2022
I-1775,1025,19921208-0097,4.0,2021-2022
